date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-05-27,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,5,Thursday,1025,2179.0,-1154.0,1154.0
2027-06-10,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Thursday,1500,2649.0,-1149.0,1149.0
2027-05-30,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,5,Sunday,1025,2173.0,-1148.0,1148.0
2027-05-30,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,5,Sunday,1025,2173.0,-1148.0,1148.0
2027-04-25,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,4,Sunday,1025,2172.0,-1147.0,1147.0
2027-04-25,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,4,Sunday,1025,2172.0,-1147.0,1147.0
2027-04-16,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Friday,1500,2639.0,-1139.0,1139.0
2027-04-15,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Thursday,1500,2639.0,-1139.0,1139.0
2027-05-01,210 LaFave South: The Subway,The Subway,Villa Game (2BR/2BA),Spring Peak,5,Saturday,800,1925.0,-1125.0,1125.0
2027-05-01,506 LaFave North: Meridian Tower,Meridian Tower,Villa Game (2BR/2BA),Spring Peak,5,Saturday,800,1925.0,-1125.0,1125.0
2027-09-03,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Fall Peak,9,Friday,1100,2223.0,-1123.0,1123.0
2027-09-03,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Fall Peak,9,Friday,1100,2223.0,-1123.0,1123.0
2027-06-26,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,6,Saturday,1025,2147.0,-1122.0,1122.0
